x,y,z
13.7339,267.6467,52.472
13.7352,267.6215,52.4726
13.7428,267.6171,52.4366
13.5621,268.4827,52.5676
13.8148,270.0452,52.2497
14.293,270.8196,51.6768
14.7947,271.0945,51.2104
15.4702,270.8427,50.5862
16.3378,270.1977,49.833
16.4248,270.2197,49.7512
16.972,269.795,49.2144
17.2274,269.272,49.0672
17.3031,268.7492,49.0334
16.8645,267.1558,49.6107
16.1965,266.6826,50.2524
15.4919,266.338,50.9724
14.4455,266.7117,51.9622
13.7651,267.759,52.5505
13.5944,269.6321,52.5669
14.1688,270.9627,51.8423
15.0161,271.455,50.8769
15.8237,270.9908,50.1092
16.4842,270.1794,49.5272
17.0595,268.1466,49.2304
16.3153,266.8198,50.0843
15.1094,266.3893,51.3339
13.773,267.6522,52.5206
13.5529,269.9211,52.5283
14.2136,270.9582,51.7113
15.1383,271.3047,50.7603
15.7162,270.787,50.2153
16.7147,270.1283,49.3209
17.0732,268.2607,49.099
16.193,266.7141,50.2189
14.7203,266.5638,51.7357
13.7721,267.843,52.513
13.6298,269.3419,52.4509
14.266,270.5381,51.6781
15.5785,270.7992,50.3388
16.4794,270.1809,49.493
17.0143,268.5366,49.1259
16.4437,267.0208,49.8448
15.4417,266.3916,50.9921
14.176,266.9906,52.1606
13.5303,268.483,52.578
13.7193,269.7444,52.3105
14.7579,270.9008,51.1093
15.3482,270.8147,50.4906
15.6869,270.6994,50.1595
16.4947,270.1241,49.4427
16.9231,268.6721,49.1778
16.4865,267.1063,49.8144
15.4797,266.2853,50.8451
14.3175,266.7483,51.9974
13.6255,268.2671,52.5491
13.7632,269.7831,52.2631
14.1601,270.5021,51.7437
14.7466,270.8226,51.0233
15.6803,270.7095,50.1293
16.5251,269.6334,49.3004
16.6305,267.3979,49.4961
15.4974,266.343,50.8177
14.5003,266.7123,51.8437
13.6009,268.4137,52.5095
13.832,269.9962,52.1565
14.6474,270.7958,51.2204
15.7958,270.6558,50.055
16.5344,269.6898,49.3717
16.6485,267.516,49.5252
15.5083,266.3666,50.8432
13.8767,267.4849,52.3654
13.7106,269.7439,52.2676
14.4432,270.7074,51.4213
15.4746,270.8078,50.2877
16.4928,269.8092,49.3985
16.6906,267.5076,49.4794
15.7037,266.4482,50.5875
14.3841,266.7842,51.9145
13.5731,268.6161,52.503
13.9342,270.2437,51.9098
14.8758,270.9397,50.8742
15.7133,270.6872,50.0539
16.0941,270.3539,49.7199
16.7961,268.8429,49.2166
16.2931,266.8781,49.892
15.4652,266.3314,50.7868
14.3513,266.4952,51.9215
13.5167,268.4534,52.5571
13.9528,270.2069,51.9398
15.0305,270.8752,50.7574
16.1811,270.3157,49.637
16.8064,268.7176,49.2461
16.2615,266.796,50.014
15.1625,266.3594,51.1808
13.6528,268.0613,52.4816
13.9106,270.2993,52.053
15.2428,270.9335,50.619
16.3463,270.3159,49.4922
16.8102,268.5193,49.1852
16.2398,266.8043,49.9835
14.5665,266.6306,51.7218
13.602,268.799,52.5157
14.2405,270.5767,51.6089
15.7084,270.7267,50.0568
16.7421,268.9385,49.1346
16.2665,266.8098,49.8719
15.0299,266.2734,51.2036
13.894,267.4222,52.2928
13.6975,269.7019,52.2525
14.9532,270.8989,50.8405
16.586,269.8679,49.28
16.7408,267.8918,49.275
16.096,266.6593,50.1059
14.6622,266.5583,51.6096
13.6181,268.1724,52.4734
